Matrix Size,Threads,Serial Time,Parallel Time,Speedup,Efficiency
5,1,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0
5,4,0.0,0.0,0.0,0.0
5,8,0.0,0.0,0.0,0.0
5,10,0.0,0.0,0.0,0.0
5,15,0.0,0.0,0.0,0.0
5,20,0.0,0.0,0.0,0.0
50,1,0.0,0.0,0.0,0.0
50,2,0.0,0.0010533332824707031,0.0,0.0
50,4,0.0,0.0,0.0,0.0
50,8,0.0,0.0,0.0,0.0
50,10,0.0,0.0,0.0,0.0
50,15,0.0,0.0009968280792236328,0.0,0.0
50,20,0.0,0.0,0.0,0.0
100,1,0.0,0.0010182857513427734,0.0,0.0
100,2,0.0,0.0,0.0,0.0
100,4,0.0,0.0,0.0,0.0
100,8,0.0,0.0006115436553955078,0.0,0.0
100,10,0.0,0.0,0.0,0.0
100,15,0.0,0.0010540485382080078,0.0,0.0
100,20,0.0,0.0,0.0,0.0
250,1,0.0038335323333740234,0.0015671253204345703,2.446219382321619,2.446219382321619
250,2,0.0038335323333740234,0.0009970664978027344,3.844811095169775,1.9224055475848876
250,4,0.0038335323333740234,0.001980304718017578,1.935829520828317,0.48395738020707924
250,8,0.0038335323333740234,0.0030319690704345703,1.2643705276401667,0.15804631595502083
250,10,0.0038335323333740234,0.0010662078857421875,3.5954830053667264,0.35954830053667264
250,15,0.0038335323333740234,0.0009999275207519531,3.8338102050548404,0.25558734700365604
250,20,0.0038335323333740234,0.0,0.0,0.0
500,1,0.005133867263793945,0.01140904426574707,0.44998223726830083,0.44998223726830083
500,2,0.005133867263793945,0.010267257690429688,0.5000232212520899,0.25001161062604493
500,4,0.005133867263793945,0.009038448333740234,0.5680031653917172,0.1420007913479293
500,8,0.005133867263793945,0.009508609771728516,0.5399177573842836,0.06748971967303545
500,10,0.005133867263793945,0.006554841995239258,0.7832175462845088,0.07832175462845088
500,15,0.005133867263793945,0.008554697036743164,0.6001226275744823,0.04000817517163215
500,20,0.005133867263793945,0.010176420211791992,0.5044865637373193,0.025224328186865964
750,1,0.0231173038482666,0.0252835750579834,0.9143210086093901,0.9143210086093901
750,2,0.0231173038482666,0.026205062866210938,0.8821693718611253,0.44108468593056266
750,4,0.0231173038482666,0.025909900665283203,0.8922189300108582,0.22305473250271454
750,8,0.0231173038482666,0.022980213165283203,1.0059655966634158,0.12574569958292697
750,10,0.0231173038482666,0.024895191192626953,0.9285851098469613,0.09285851098469614
750,15,0.0231173038482666,0.023821592330932617,0.9704348696391933,0.06469565797594622
750,20,0.0231173038482666,0.01993083953857422,1.1598760706253888,0.05799380353126944
1000,1,0.05590057373046875,0.05436825752258301,1.028184022768235,1.028184022768235
1000,2,0.05590057373046875,0.06005096435546875,0.9308855291576674,0.4654427645788337
1000,4,0.05590057373046875,0.059194326400756836,0.9443569532662851,0.23608923831657128
1000,8,0.05590057373046875,0.050103187561035156,1.1157089289453148,0.13946361611816435
1000,10,0.05590057373046875,0.060009002685546875,0.9315364566778972,0.09315364566778972
1000,15,0.05590057373046875,0.0595707893371582,0.9383890049548144,0.06255926699698762
1000,20,0.05590057373046875,0.06474828720092773,0.8633521618417079,0.0431676080920854
2000,1,0.37302398681640625,0.3731405735015869,0.9996875529131378,0.9996875529131378
2000,2,0.37302398681640625,0.3662867546081543,1.0183933274230985,0.5091966637115493
2000,4,0.37302398681640625,0.3700888156890869,1.007930991164524,0.251982747791131
2000,8,0.37302398681640625,0.36701035499572754,1.0163854554478406,0.12704818193098008
2000,10,0.37302398681640625,0.3730332851409912,0.9999750737401852,0.09999750737401852
2000,15,0.37302398681640625,0.35977983474731445,1.0368118243158169,0.06912078828772113
2000,20,0.37302398681640625,0.37000036239624023,1.00817194988833,0.05040859749441649
5000,1,14.433847904205322,13.871486902236938,1.0405407874391386,1.0405407874391386
5000,2,14.433847904205322,14.92490839958191,0.9670979223302743,0.4835489611651371
5000,4,14.433847904205322,17.093844413757324,0.8443886322370405,0.21109715805926013
5000,8,14.433847904205322,15.954960823059082,0.9046620712063828,0.11308275890079784
5000,10,14.433847904205322,15.706391334533691,0.9189792611667312,0.09189792611667312
5000,15,14.433847904205322,16.788541316986084,0.8597440141867262,0.057316267612448416
5000,20,14.433847904205322,16.948703289031982,0.8516195993321743,0.042580979966608715
